"fmun_cod";"fmun";"ano";"regiao";"hom_doloso";"lesao_corp_morte";"latrocinio";"cvli";"hom_por_interv_policial";"letalidade_violenta";"tentat_hom";"lesao_corp_dolosa";"estupro";"hom_culposo";"lesao_corp_culposa";"roubo_transeunte";"roubo_celular";"roubo_em_coletivo";"roubo_rua";"roubo_carga";"roubo_comercio";"roubo_residencia";"roubo_banco";"roubo_cx_eletronico";"roubo_conducao_saque";"roubo_apos_saque";"roubo_bicicleta";"outros_roubos";"total_roubos";"furto_veiculos";"furto_transeunte";"furto_coletivo";"furto_celular";"furto_bicicleta";"outros_furtos";"total_furtos";"sequestro";"extorsao";"sequestro_relampago";"estelionato";"apreensao_drogas";"posse_drogas";"trafico_drogas";"apreensao_drogas_sem_autor";"recuperacao_veiculos";"apf";"aaapai";"cmp";"cmba";"ameaca";"pessoas_desaparecidas";"encontro_cadaver";"encontro_ossada";"pol_militares_mortos_serv";"pol_civis_mortos_serv";"registro_ocorrencias";"fase"
3301306;"Casimiro de Abreu";2020;"Interior";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";3
3301405;"Conceição de Macabu";2014;"Interior";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";3
3301405;"Conceição de Macabu";2015;"Interior";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";3
3301405;"Conceição de Macabu";2016;"Interior";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";3
3301405;"Conceição de Macabu";2017;"Interior";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";3
3301405;"Conceição de Macabu";2018;"Interior";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";3
3301405;"Conceição de Macabu";2019;"Interior";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";3
3301405;"Conceição de Macabu";2020;"Interior";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";3
3301504;"Cordeiro";2014;"Interior";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";3
3301504;"Cordeiro";2015;"Interior";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";3
